object,init,strategy,seed,psnr,ssim,lpips,precision@0.5%,recall@0.5%,fscore@0.5%,chamfer,precision@1%,recall@1%,fscore@1%,precision@2%,recall@2%,fscore@2%,num_gs,round,n_views,train_s,signal_s,ig_s,ig_gains,select_s
bookcase,biased,random,0,27.637138716379802,0.9639586637417475,0.050168993735375506,0.621805,0.8191695076286816,0.7069711407029389,0.09445603053356114,0.70902,0.9659922874867266,0.817794420722142,0.782985,0.9961381545855922,0.8767928526565378,100375,2,20,80.11753106117249,1.1828389167785645,,,8.440017700195312e-05
bookcase,biased,random,0,33.3005978902181,0.9785801062981287,0.02238749638199806,0.839355,0.8787179343877494,0.8585855432043857,0.009698755802143296,0.921695,0.9912312077348684,0.9551992589353622,0.97717,1.0,0.9884531932003823,98025,3,25,76.96237516403198,1.1880505084991455,,,8.153915405273438e-05
bookcase,biased,random,0,34.32137409845988,0.9814998735984166,0.0191309020233651,0.834605,0.8538031632481976,0.8440949345943323,0.006714945306701626,0.93691,0.991169731179791,0.9632763809735457,0.992985,1.0,0.9964801541406483,99185,4,30,76.18307638168335,,,,
bookcase,biased,random,1,13.391813437143961,0.8545036077499389,0.27377782023201386,0.144525,0.6453305762029844,0.2361606459096969,0.29252815601391,0.175585,0.8269099647907002,0.2896632726690818,0.22072,0.9405465824624155,0.3575362364099085,134538,0,10,77.80279922485352,1.0940828323364258,,,9.584426879882812e-05
bookcase,biased,random,1,20.010616954167684,0.9206873595714569,0.13001005581269662,0.461065,0.8223383446040351,0.5908531101293615,0.19426484266268249,0.5287,0.981601743698653,0.6872439154079759,0.573955,0.9993740568937574,0.72914910496462,107840,1,15,81.11889147758484,1.0736846923828125,,,0.0002560615539550781
bookcase,biased,random,1,27.21029135386149,0.9610801388820013,0.0494466796827813,0.727785,0.8530822109204717,0.785468169098472,0.05453948152976482,0.82098,0.9877829318727994,0.8966902374201913,0.87417,1.0,0.9328609464456267,101973,2,20,81.57934713363647,1.302126407623291,,,8.273124694824219e-05
bookcase,biased,random,1,31.133594385782878,0.9747056057055791,0.02864739823465546,0.809065,0.8623204605152853,0.8348442892062826,0.017357953271132775,0.911785,0.9880232493153748,0.9483744253680965,0.967475,1.0,0.9834686590680949,99164,3,25,76.45252633094788,1.3413457870483398,,,9.870529174804688e-05
bookcase,biased,random,1,33.59011901219686,0.979115770260493,0.022065581078641115,0.833235,0.8556642262337227,0.8443006787750045,0.00892840127852761,0.9426,0.9890404068630191,0.9652619444041202,0.98799,1.0,0.9939587221263689,101980,4,30,78.53512954711914,,,,
bookcase,uniform,fps,0,29.410083389282228,0.9642613351345062,0.03443569961430815,0.84648,0.8859051025540714,0.8657439389248782,0.011594775160152258,0.930865,0.9909405912926843,0.9599638149592431,0.96653,1.0,0.9829801731984764,86115,0,10,65.4714584350586,0.9973781108856201,,,0.0018570423126220703
bookcase,uniform,fps,0,32.18121226628622,0.9751339306433996,0.02369954853784293,0.83585,0.8626110769574694,0.8490197137357838,0.009572497447184636,0.91768,0.9832224892416028,0.9493213029430199,0.97434,1.0,0.9870032517195619,93776,1,15,57.657713890075684,1.1700730323791504,,,0.0024716854095458984
bookcase,uniform,fps,0,34.55039822260539,0.981278732419014,0.017145609684909382,0.865105,0.8698373665679316,0.8674647290945458,0.005752793991804223,0.955215,0.984669982674789,0.9697188708619229,0.996,1.0,0.9979959919839679,99398,2,20,61.73199415206909,1.172192096710205,,,0.001743316650390625
bookcase,uniform,fps,0,35.43873643875122,0.9833650380373001,0.01566608912156274,0.87649,0.879271223383446,0.8778784088854968,0.005522375108330049,0.96511,0.9931872799418767,0.978947359588994,0.996125,1.0,0.9980587388064375,104999,3,25,61.40472340583801,0.7021677494049072,,,0.0007331371307373047
bookcase,uniform,fps,0,36.24959456125895,0.9849412908156713,0.014567380902978282,0.911595,0.9129324316771922,0.9122632256504356,0.005032607951888371,0.971165,0.9948303805957637,0.9828552560266036,0.99636,1.0,0.9981766815604399,114127,4,30,56.784573554992676,,,,
bookcase,uniform,fps,1,21.938207832972207,0.9390259971221288,0.10201996698354682,0.48577,0.8799139328228917,0.6259659074466214,0.2004434223068726,0.52848,0.994366512043816,0.6901586077504781,0.559125,1.0,0.717229215104626,97760,0,10,58.166306495666504,0.7469990253448486,,,0.0009326934814453125
bookcase,uniform,fps,1,30.793183199564616,0.9736230611801148,0.03014992825531711,0.84346,0.8890851170848936,0.8656718090183845,0.027279053569898806,0.918855,0.9937629240485106,0.9548420728419715,0.95042,1.0,0.9745798340870172,101533,1,15,62.69348073005676,1.088700294494629,,,0.0017638206481933594
bookcase,uniform,fps,1,34.916341400146486,0.9817963610092799,0.015602941605417678,0.91298,0.9145978874420164,0.9137882275929041,0.005080847193095832,0.972015,0.9977644889062762,0.9847214423201661,0.996965,1.0,0.9984801936939306,104495,2,20,61.897934675216675,0.9936971664428711,,,0.0009274482727050781
bookcase,uniform,fps,1,36.24097385406494,0.9851566990216573,0.013453113788273185,0.9297,0.9285810093332588,0.9291401677584583,0.00483475080246968,0.98006,0.9978594981277594,0.9888796593196055,0.99574,1.0,0.9978654534157755,108300,3,25,62.88710379600525,1.1618940830230713,,,0.0008635520935058594
bookcase,uniform,fps,1,37.07266394297282,0.9862017959356308,0.012530237129734207,0.94954,0.9455485385346225,0.9475400658318766,0.004464772704152234,0.98471,0.9990499077851673,0.9918281247991334,0.996525,1.0,0.9982594758392707,112824,4,30,64.20920395851135,,,,
