object,init,strategy,seed,round,S1~bad,S1~psnr,S2~bad,S2~psnr,score~bad,score~psnr,IG~bad,IG~psnr
bookcase,uniform,random,1,0,-0.1572806361453372,-0.27949892182463143,0.3855004002151977,-0.8980242928438025,0.23147309810302372,-0.7835058851316774,,
bookcase,uniform,fps,0,1,-0.3347162730753194,-0.5647549372654562,0.27829308972366473,-0.1767522080285054,-0.06818354118494371,-0.6970319548159661,,
bookcase,uniform,fps,0,3,-0.5038356471115092,-0.38130094043887147,0.26672189879086433,0.10526869682042096,-0.29156068069861174,-0.3298746081504702,,
bookcase,uniform,fps,0,2,-0.6764262271469285,-0.38883504634916716,0.3052110661851703,0.054690988404991925,-0.35453563381585856,-0.40091772379805957,,
bookcase,uniform,fps,0,0,-0.5232689052474118,-0.23420943283164286,-0.14089936884095056,-0.3718782121096809,-0.36734156508198945,-0.37184846934089155,,
bookcase,uniform,fps,1,1,-0.15856866684356166,-0.5467400780865017,-0.13120617110799437,-0.2035972859254767,-0.19908835904628333,-0.49589666805655586,,
bookcase,uniform,fps,1,3,0.37580161218092256,-0.2519301388266906,-0.18449395432154056,-0.2558687863860278,0.04997984773846843,-0.469435736677116,,
bookcase,uniform,fps,1,2,0.44553844254452296,-0.21082749467576156,-0.068331327098573,-0.13953928619196063,0.24611664969083408,-0.3047645503462041,,
bookcase,uniform,fps,1,0,-0.17290258805827835,-0.2682666526700696,0.42419574241012653,-0.9039553508553233,0.24308502495330825,-0.7733793471462251,,
bookcase,uniform,ours,0,1,-0.7652552973731094,0.47942648117963693,-0.19826958796103256,-0.018246086198400364,-0.6873829650126986,0.31611197452712186,,
bookcase,uniform,ours,0,3,-0.6179064039408867,0.39677339901477837,-0.020445588893864757,-0.2100738916256158,-0.5119480519480519,0.1159896999552172,,
bookcase,uniform,ours,0,2,-0.7900079220552075,0.4709774993055341,0.011613527166476331,-0.1498708807885017,-0.6163976254411144,0.19097708777019864,,
bookcase,uniform,ours,0,0,-0.4981432639189598,-0.2195340007960565,-0.11549729472022116,-0.3138693155226636,-0.3376495339570567,-0.34159482475823066,,
bookcase,uniform,ours,1,1,0.15037337477730187,-0.6594310299078884,0.3587979985595694,-0.7280997687729805,0.2681683787574391,-0.8204010462074979,,
bookcase,uniform,ours,1,3,0.2834393193013883,-0.5950582176444246,0.14624720107478728,0.3211755485893417,0.2939767129422302,-0.2899552171965965,,
bookcase,uniform,ours,1,2,0.2913135179069313,-0.6967457843349074,0.5521466711935553,-0.08757471938434314,0.45964587384384287,-0.6922415300883772,,
bookcase,uniform,ours,1,0,-0.19577127810801,-0.2739651370858197,0.3710594111806568,-0.900288636201688,0.20519623666496087,-0.7802406453484566,,
table,biased,ig,0,1,0.1608051249004966,-0.31729464387248396,0.5146014176869718,-0.7492513551419582,0.4394223115120731,-0.6721106099086464,0.010959623288461963,-0.35203466140923906
table,biased,ig,0,3,0.2698141513658755,-0.36907299596954773,-0.22895656068069864,-0.10266681594267803,0.00526421854008061,-0.45021943573667716,0.49982993889931626,0.0799249104403606
table,biased,ig,0,2,0.3300163585295843,-0.44150951161044066,0.18280811136146177,-0.2060269349877054,0.3411031204666811,-0.47627190139613357,0.2063486752500406,-0.04720284220505621
table,biased,ig,0,0,-0.25852852025351336,0.44646082921089814,0.2708647710025501,-0.5487479606520665,0.18477695110376294,-0.08519466204778964,-0.22909572678976295,-0.5443222510761303
table,biased,ig,1,1,0.1890261930935143,-0.4837610401425268,0.5966130927561503,-0.7741366892839544,0.4520564042303173,-0.7278420075054016,0.23914361960900737,-0.21386197538217697
table,biased,ig,1,3,-0.025830721003134795,-0.5076332288401255,-0.001903269144648455,0.04140394088669951,-0.05052395879982087,-0.3251925660546351,-0.06937619747124495,-0.007862538561995057
table,biased,ig,1,2,0.07997983476856282,-0.5608815086885397,-0.11022768192433922,-0.1373437451773203,-0.020815457267199605,-0.37771330390855684,-0.14700059224481865,0.07311332787476484
table,biased,ig,1,0,-0.156204647745017,0.3581265554811987,0.36371644643895956,-0.44502617801047123,0.3125553849720287,-0.10085685417732816,-0.13333689080332592,-0.4070920788411552
table,biased,random,0,1,0.0993707592585573,-0.2821898335923581,0.46361965050604603,-0.8465676054736363,0.3892403623820174,-0.6937720329024677,,
table,biased,random,0,3,0.2665853112404837,-0.6696954769368564,-0.24196820420958354,-0.40036050156739816,0.0607590685176892,-0.7408038513210927,,
table,biased,random,0,2,0.1938660658250769,-0.4071689455435867,-0.11811681430496825,-0.32036997026657205,0.030626459664392935,-0.4576211199934154,,
table,biased,random,0,0,-0.2706793160912753,0.45314770346459526,0.27199674579117955,-0.5692442274971898,0.179108329287442,-0.09003398548727842,,
table,biased,random,1,1,-0.21240476100223646,0.028044804973276223,0.2751222470717562,-0.8846177172965393,0.16313445282589745,-0.5293317160077329,,
table,biased,random,1,3,-0.13776085982982536,-0.5606829377519033,-0.21515897895208239,-0.4087774294670846,-0.2711038961038961,-0.5921473354231975,,
table,biased,random,1,2,-0.09412224657139623,-0.5670812885171352,0.19655544924226057,-0.5704682243279113,0.07767935224338199,-0.6567157422554194,,
table,biased,random,1,0,-0.1803995153678262,0.3682723387876323,0.40275295568764846,-0.4648331124495358,0.30789626771991063,-0.10086560205050149,,
table,biased,fps,0,1,0.034807247640347226,-0.3677457260907471,0.15442553352791782,-0.6864902770933627,0.1721371441567795,-0.5611974527121792,,
table,biased,fps,0,3,0.1698678907299597,-0.32745185848634134,-0.5200089565606807,-0.4917107030900135,-0.3262472010747873,-0.601486789072996,,
table,biased,fps,0,2,0.10053396709774992,-0.445351193966892,-0.40452071565994835,-0.42243484881220605,-0.131668672901427,-0.5617930594565675,,
table,biased,fps,0,0,-0.2572338350238598,0.46038569372821236,0.2900348602745958,-0.5718196013594194,0.21325827658150617,-0.0855988137883977,,
table,biased,fps,1,1,-0.19935559683105267,-0.2481426026306812,0.26885258329858613,-0.8307380311587885,0.17878397331412763,-0.6957905310640234,,
table,biased,fps,1,3,-0.07138826690550829,-0.34445364979847737,-0.23952754142409316,-0.35177563815494856,-0.32515897895208246,-0.549498432601881,,
table,biased,fps,1,2,0.07766494850664114,-0.5750177474613414,0.16457092297087358,-0.814802926016235,0.19411916005638033,-0.7570706914822473,,
table,biased,fps,1,0,-0.14747951904193296,0.35216925385015774,0.39628477826328473,-0.4620145477130873,0.3416543102958094,-0.12217192195147557,,
table,biased,ours,0,1,-0.15751487813198894,0.2384329631173951,0.3122247071756188,-0.6903112088245329,0.17815662787612296,-0.24126075584701112,,
table,biased,ours,0,3,0.1409538737124944,-0.4763390058217645,0.07174205105239588,-0.008660994178235558,0.052523510971786834,-0.2787080161218093,,
table,biased,ours,0,2,-0.04722367974320195,0.08951922384435734,0.48108892249760793,-0.8177639227548176,0.4082183606489912,-0.556982211385125,,
table,biased,ours,0,0,-0.2857291570986804,0.4724455116849717,0.2715121136173768,-0.576230279013415,0.1636683331365062,-0.08456831432857888,,
table,biased,ours,1,1,-0.05829195254160192,0.022057541412380127,0.24094424017285168,-0.7827527387134681,0.22054319396535385,-0.4833573405102157,,
table,biased,ours,1,3,-0.3167935512763099,-0.3038154948499776,0.15097402597402598,-0.29538737124944026,-0.10409090909090911,-0.36698163905060455,,
table,biased,ours,1,2,0.1655503770692511,-0.19133100815868803,0.40333549389384443,-0.728189141640174,0.41351482041626797,-0.5661224111855304,,
table,biased,ours,1,0,-0.16990556670909387,0.3838592992078801,0.4139029948343809,-0.4502049189290854,0.3315015286908371,-0.07594990967820948,,
table,uniform,ig,0,1,-0.06781206171107995,-0.5321386603995301,-0.4584966453129146,-0.1567055835639286,-0.307986808688071,-0.3679674765930026,-0.26514937707242936,-0.02307591713417467
table,uniform,ig,0,3,0.08723690103000448,-0.245371697268249,-0.023596059113300497,-0.08974249888042993,0.06609046126287506,-0.23628526645768025,0.09207484297829006,0.3123406101728457
table,uniform,ig,0,2,-0.05023817607539327,-0.3204255275368581,-0.16184655905017645,-0.1391853658034713,-0.13287241375762626,-0.2758583083840036,0.060056960484049335,0.2811101696961065
table,uniform,ig,0,0,-0.389401951650505,0.10360893507765925,0.03717758619935528,-0.7796060832710049,-0.11821438412785894,-0.39036771684884114,-0.2556274097715696,-0.6079251530348948
table,uniform,ig,1,1,0.14474432356620295,-0.39532997232856987,-0.19650695576361774,-0.3754254956218491,0.07454607482657974,-0.4579470073158713,-0.2280726946314196,-0.3525560202411864
table,uniform,ig,1,3,-0.28209807433945366,-0.32969547693685625,-0.41380206000895664,0.028132557098074343,-0.47883116883116883,-0.2297268248992387,-0.025227663336471057,0.1519729968247786
table,uniform,ig,1,2,-0.04072553679640318,-0.3839851024208566,-0.24264740681296748,-0.1611366605965205,-0.16156877269874584,-0.3517968661584205,0.1047658602636748,-0.03217856353513057
table,uniform,ig,1,0,-0.1771820476146737,0.1857252205557524,0.3647906852646451,-0.8951077519278126,0.2618194701413219,-0.45003171104025336,-0.42131041849354844,-0.22584638156220116
table,uniform,random,0,1,-0.09056328418179752,-0.4908305219665669,0.11787839733141277,-0.6642337288199841,-0.0323679921155377,-0.6291061748986013,,
table,uniform,random,0,3,0.25665472458575905,-0.6901253918495298,-0.5009270040304523,-0.27743618450515006,-0.1875996417375728,-0.6163054187192119,,
table,uniform,random,0,2,-0.2446577569266541,-0.48803769663672747,0.20385608609319217,-0.42985688858709625,-0.13132504089632396,-0.551652828791012,,
table,uniform,random,0,0,-0.38150437174961843,0.08999899399458508,0.09457938038814315,-0.814207420820813,-0.09253062849094815,-0.40919838864176156,,
table,uniform,random,1,1,-0.10261362344111294,-0.6462074978204011,-0.18323225048330236,-0.7243356961449527,-0.07790834312573443,-0.80301163716311,,
table,uniform,random,1,3,-0.15197268248992388,-0.78871921182266,-0.43437751903269145,-0.4116300940438872,-0.2614979847738469,-0.75307657859382,,
table,uniform,random,1,2,-0.15065074024918462,-0.7897980390341266,-0.46337026862969016,-0.48217126042984865,-0.26126320771217215,-0.7702974371636985,,
table,uniform,random,1,0,-0.12922095815454868,0.18436055234071216,0.4101921470342524,-0.8907443127889533,0.3214414745415021,-0.435676451162811,,
